Job,Workcenter,Hours Remaining,Due date
204862-95,ENGINEER,0,4/16/2024
204523,FAB,117.3,6/3/2024
201758,FAB,86.26,4/25/2024
204491,FAB,56.12,4/23/2024
204883-01,FAB,52,5/22/2024
204361,FAB,50,5/16/2024
204140,FAB,40,-
204898,FAB,40,5/8/2024
204301,FAB,30,5/16/2024
204907,FAB,26,5/2/2024
204900,FAB,24,5/8/2024
203638,FAB,20.68,5/3/2024
204071,FAB,18.5,5/1/2024
204749,FAB,18.26,5/6/2024
204859,FAB,18.26,5/14/2024
204675,FAB,17.72,4/19/2024
204860,FAB,17.72,5/14/2024
204678,FAB,16,4/17/2024
204881,FAB,15.6,6/4/2024
204673,FAB,13.01,4/22/2024
204878,FAB,12.42,5/3/2024
204631,FAB,12.25,5/2/2024
204387,FAB,12,4/26/2024
204386,FAB,10,4/26/2024
204674,FAB,9.91,4/24/2024
200571,FAB,9.78,4/23/2024
200572,FAB,9.78,4/24/2024
204804,FAB,9.2,4/26/2024
204883-02,FAB,7,5/22/2024
200566,FAB,6.55,4/15/2024
203634,FAB,6.55,4/24/2024
204769,FAB,6.55,4/22/2024
204441-04,FAB,6.5,4/22/2024
203635,FAB,6.36,4/25/2024
204632,FAB,6.25,4/24/2024
204771,FAB,6.25,4/24/2024
204791,FAB,6,4/26/2024
204940,FAB,6,5/9/2024
204870-01,FAB,5.5,-
204847,FAB,4.15,4/15/2024
204424-03,FAB,3.5,4/10/2024
204424-01B,FAB,3.4,3/26/2024
204890,FAB,3.33,4/26/2024
204890-01,FAB,3.33,4/24/2024
204890-02,FAB,3.33,4/23/2024
204878,FAB,3.26,4/30/2024
204887,FAB,3.25,-
204883-06,FAB,3,5/22/2024
201949-28,FAB,2.67,2/14/2024
202894-28,FAB,2.67,4/15/2024
204863-01A,FAB,2.3,5/13/2024
204791,FAB,2,4/22/2024
201949-04,FAB,2,2/13/2024
202894-04,FAB,2,4/15/2024
203638-35,FAB,1.95,4/17/2024
204938,FAB,1.75,4/30/2024
204441-05,FAB,1.5,4/23/2024
204863SER,FAB,1.5,5/16/2024
204830,FAB,1.33,4/22/2024
204897,FAB,1.2,4/23/2024
204832,FAB,1.17,4/15/2024
201949-08,FAB,1,2/14/2024
202894-08,FAB,1,4/10/2024
202894-53,FAB,1,4/11/2024
204791-01,FAB,1,4/16/2024
204559,FAB,0.9,4/22/2024
204947,FAB,0.75,4/24/2024
204441-01,FAB,0.75,4/24/2024
203638-36,FAB,0.68,4/22/2024
204905,FAB,0.67,4/25/2024
204877-03,FAB,0.59,4/24/2024
204437,FAB,0.5,4/9/2024
204866,FAB,0.5,4/26/2024
204868,FAB,0.5,4/18/2024
204923,FAB,0.5,4/22/2024
204940,FAB,0.5,5/14/2024
204441-08,FAB,0.5,-
204866-02,FAB,0.5,4/24/2024
204749-13,FAB,0.38,4/26/2024
204926,FAB,0.33,4/24/2024
204881-12,FAB,0.33,5/23/2024
203638-17,FAB,0.3,4/18/2024
203638-19,FAB,0.27,4/18/2024
203638-37,FAB,0.26,4/25/2024
202327-04,FAB,0.25,10/5/2023
202894-02D,FAB,0.25,4/9/2024
204441-03A,FAB,0.25,-
204791-01A,FAB,0.25,4/15/2024
204859-11,FAB,0.25,5/3/2024
204859-12,FAB,0.25,5/3/2024
204860-11,FAB,0.25,5/3/2024
204881-13,FAB,0.25,5/23/2024
190372,FAB,0.13,6/26/2024
200564,FAB,0,4/22/2024
203446,FAB,0,4/11/2024
204159,FAB,0,4/11/2024
204310,FAB,0,4/26/2024
204313,FAB,0,4/9/2024
204315,FAB,0,4/11/2024
204371,FAB,0,4/9/2024
204664,FAB,0,4/24/2024
204739,FAB,0,4/9/2024
204932,FAB,0,4/23/2024
204946,FAB,0,4/24/2024
201949-01,FAB,0,2/12/2024
201949-02,FAB,0,2/13/2024
202894-01,FAB,0,4/9/2024
202894-02,FAB,0,4/9/2024
204020-95,FAB,0,-
204586-01,FAB,0,4/17/2024
203638-06,FORM,2,4/23/2024
203634-01,FORM,1.5,4/23/2024
204631-01,FORM,1.5,4/22/2024
204769-01,FORM,1.5,4/15/2024
204883-01B,FORM,1,5/15/2024
204883-01C,FORM,1,5/15/2024
204883-01J,FORM,1,5/15/2024
204883-03,FORM,1,5/17/2024
204859-08,FORM,0.8,5/8/2024
203635-01,FORM,0.75,4/23/2024
204632-01,FORM,0.75,4/22/2024
204771-01,FORM,0.75,4/22/2024
204860-03,FORM,0.75,5/8/2024
204791-01,FORM,0.67,4/18/2024
204830-01,FORM,0.53,4/18/2024
203635-09,FORM,0.5,4/23/2024
203638-10,FORM,0.5,4/16/2024
203638-11,FORM,0.5,4/16/2024
203638-23,FORM,0.5,4/16/2024
203638-35B,FORM,0.5,4/16/2024
204749-07,FORM,0.5,4/30/2024
203638-31,FORM,0.48,4/30/2024
204834,FORM,0.42,4/16/2024
204859-07,FORM,0.4,5/8/2024
204947-02,FORM,0.4,4/23/2024
204833,FORM,0.33,4/15/2024
204441-04D,FORM,0.33,4/18/2024
204877-03,FORM,0.33,4/22/2024
204910,FORM,0.3,4/22/2024
204913,FORM,0.3,4/22/2024
204863-01A3,FORM,0.3,5/9/2024
203634-07,FORM,0.25,4/22/2024
203634-12,FORM,0.25,4/22/2024
203635-11,FORM,0.25,4/23/2024
203638-08,FORM,0.25,4/23/2024
203638-09,FORM,0.25,4/23/2024
203638-22,FORM,0.25,4/16/2024
203638-29,FORM,0.25,4/30/2024
203638-36B,FORM,0.25,4/19/2024
204631-07,FORM,0.25,4/22/2024
204631-10,FORM,0.25,4/22/2024
204631-12,FORM,0.25,4/22/2024
204631-14,FORM,0.25,4/22/2024
204632-07,FORM,0.25,4/22/2024
204769-07,FORM,0.25,4/12/2024
204769-10,FORM,0.25,4/12/2024
204769-12,FORM,0.25,4/12/2024
204771-07,FORM,0.25,4/22/2024
204866-01,FORM,0.25,4/25/2024
204861,FORM,0.23,4/17/2024
204832-01,FORM,0.22,4/12/2024
203638-15,FORM,0.2,4/23/2024
203638-25,FORM,0.19,4/16/2024
203638-26,FORM,0.19,4/16/2024
204843,FORM,0.17,5/16/2024
204925,FORM,0.17,4/23/2024
203638-24,FORM,0.17,4/16/2024
204441-04S,FORM,0.17,4/18/2024
204441-04T,FORM,0.17,4/18/2024
204441-04U,FORM,0.17,4/18/2024
204441-04V,FORM,0.17,4/18/2024
204441-04W,FORM,0.17,4/18/2024
204881-07,FORM,0.17,5/30/2024
204387-04,FORM,0.15,4/23/2024
203635-06,FORM,0.13,4/23/2024
203638-33,FORM,0.13,4/30/2024
203638-34,FORM,0.13,4/30/2024
204947-01,FORM,0.13,4/23/2024
204903,FORM,0.1,4/19/2024
204904,FORM,0.1,4/19/2024
204909,FORM,0.1,4/22/2024
204911,FORM,0.1,4/22/2024
204912,FORM,0.1,4/22/2024
204915,FORM,0.1,4/22/2024
203634-10,FORM,0.1,4/22/2024
204928,FORM,0.08,4/23/2024
204387-01,FORM,0.08,4/23/2024
204905,FORM,0.07,4/24/2024
204935,FORM,0,4/24/2024
204716-03,FORM,0,4/15/2024
203994,HMC6800,11,4/12/2024
204804,HMC6800,6.05,5/2/2024
204699,HMC6800,5.5,4/26/2024
204853,HMC6800,5.5,5/13/2024
204791,HMC6800,3,4/30/2024
204868,HMC6800,1.26,4/22/2024
204850SER,HMC6800,1.01,5/6/2024
204859-12,HMC6800,0.78,5/7/2024
204881-12,HMC6800,0.75,5/29/2024
204881-13,HMC6800,0.67,5/29/2024
204859-11,HMC6800,0.63,5/7/2024
204860-11,HMC6800,0.62,5/7/2024
203716,HMC6800,0,4/9/2024
201949-97M,INDIRECT,1,-
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
