,,,,,
,,,,,
,Search by,    Job,Workcenter,,
,,,,,
,,JOB,FUTURE WC,HRS REMAINING,END
,,204948,405ASSY,0.5,5/17/2024
,,204948,405INSPECT,0,5/17/2024
,,204948,405SHIP,0,5/21/2024
,,204951,VERMACH,17.5,5/14/2024
,,204951,MACH,1.67,5/15/2024
,,204951,INSPECT,1,5/16/2024
,,204952,VERMACH,14,5/15/2024
,,204952,MACH,1.33,5/15/2024
,,204952,INSPECT,1,5/16/2024
,,204953,INSPECT,0.5,5/30/2024
,,204953,MVB25,0,5/28/2024
,,204954,MVB25,4,5/28/2024
,,204954,INSPECT,0.5,5/30/2024
,,204955,MVB25,4,5/29/2024
,,204955,INSPECT,0.5,5/30/2024
,,204956,MVB25,3,5/29/2024
,,204956,INSPECT,0.5,5/30/2024
,,204958,ASSEMBLE,2,5/21/2024
,,204959,405SHIP,0,5/6/2024
,,204959,405UBT,0,5/3/2024
,,204960,405UBT,0.02,5/3/2024
,,204960,405SHIP,0,5/6/2024
,,204961,405ASSY,0,5/3/2024
,,204961,405SHIP,0,5/7/2024
,,204963,405UBT,0.25,5/3/2024
,,204963,405SHIP,0,5/6/2024
,,204964,405UBT,3.33,5/3/2024
,,204964,405SHIP,0,5/6/2024
,,204973,MAZAK300C,1.74,5/3/2024
,,204973,INSPECT,0.1,5/6/2024
,,204973,405TRANSFR,0,5/6/2024
,,204974,INSPECT,0.02,5/3/2024
,,204974,405SHIP,0,5/9/2024
,,204976,MVB25,30.4,5/13/2024
,,204976,FAB,5,5/6/2024
,,204976,PAINT,0.87,5/15/2024
,,204976,INSPECT,0.05,5/14/2024
,,204985,405TRANSFR,0,5/10/2024
,,204985,SHIP,0,5/3/2024
,,204990,INSPECT,0.42,5/10/2024
,,204990,INSPECT,0.08,5/9/2024
,,204991,INSPECT,0.42,5/10/2024
,,204991,INSPECT,0.08,5/9/2024
,,204992,INSPECT,0.42,5/10/2024
,,204992,INSPECT,0.08,5/9/2024
,,204993,INSPECT,0.83,5/10/2024
,,204993,INSPECT,0.17,5/9/2024
,,204994,INSPECT,0.83,5/10/2024
,,204994,INSPECT,0.17,5/9/2024
,,204996,INSPECT,0.33,5/10/2024
,,204996,INSPECT,0,5/9/2024
,,204997,MAZAK250,2.33,5/8/2024
,,204997,INSPECT,0.58,5/10/2024
,,205006,ASSEMBLE,0,5/3/2024
,,205010,CONTROLS,4,5/13/2024
,,205010,ASSEMBLE,2.8,5/13/2024
,,205010,INSPECT,0,5/14/2024
,,205013,FAB,130,6/3/2024
,,205016,FORM,0.75,5/31/2024
,,205016,INSPECT,0.3,5/31/2024
,,205016,LASER,0.03,5/30/2024
,,205016,405TRANSFR,0,5/31/2024
,,205017,FAB,14,5/20/2024
,,205017,INSPECT,0.1,5/22/2024
,,205017,405TRANSFR,0,5/30/2024
,,205019,FAB,0.5,5/10/2024
